#{"t_start": 1693741281.1027257, "env_id": null}
r,l,t
8.0,21,0.661193
7.5,21,0.70308
7.5,21,0.724025
8.0,22,0.752949
7.5,20,0.771942
8.0,21,0.800904
7.0,20,0.819814
7.5,21,0.847739
7.5,21,0.875672
7.0,20,0.896351
8.0,21,0.922323
7.5,22,0.946259
7.5,21,0.974145
6.5,20,0.994108
8.0,21,1.023014
8.0,22,1.050978
6.5,20,1.070927
6.5,20,1.097852
8.0,21,1.136709
7.5,20,1.163648
8.5,22,1.183599
5.0,17,1.206523
7.5,21,1.227467
7.0,20,1.254395
7.5,20,1.273345
8.0,21,1.301269
8.0,22,1.330214
7.5,21,1.349217
7.5,21,1.378135
8.0,22,1.39807
7.5,21,1.425968
8.0,21,1.444918
8.0,21,1.474838
8.0,21,1.501766
7.5,20,1.521752
8.0,20,1.548641
8.0,21,1.609082
8.0,21,1.639003
8.0,21,1.665931
8.5,22,1.696884
8.0,22,1.729822
6.5,20,1.749789
7.0,20,1.77673
6.5,20,1.797634
7.5,21,1.832541
8.0,22,1.85947
8.5,22,1.895046
9.0,23,1.932945
8.0,22,1.954885
7.0,20,1.977824
8.0,21,1.994805
6.5,20,2.019742
8.0,21,2.040656
7.5,21,2.067625
7.5,21,2.094511
8.0,21,2.115456
7.5,21,2.145375
8.0,21,2.167317
7.5,20,2.201226
8.0,21,2.227157
8.0,20,2.258074
8.0,22,2.277056
8.5,22,2.303952
7.5,20,2.329882
8.0,21,2.34983
6.5,20,2.376775
7.0,20,2.395738
7.5,21,2.423631
8.0,22,2.444606
6.5,20,2.471503
7.5,21,2.500439
8.0,21,2.52137
8.5,22,2.549335
7.5,20,2.569255
8.0,21,2.598165
7.5,20,2.618142
8.0,21,2.647034
8.0,21,2.665984
8.5,22,2.695918
8.0,21,2.72668
8.0,22,2.754607
7.5,20,2.789799
7.5,20,2.816711
8.5,21,2.853613
8.5,21,2.882764
8.0,21,2.919665
8.5,21,2.952578
7.5,20,2.974519
8.0,21,3.004438
8.5,22,3.028375
7.0,20,3.058295
7.0,20,3.074252
7.5,20,3.097191
8.0,21,3.115452
7.0,20,3.141074
8.0,20,3.166038
8.0,21,3.184955
8.5,22,3.212924
7.0,20,3.231832
8.0,21,3.259794
8.0,20,3.278706
8.0,21,3.305662
7.5,20,3.324583
8.0,21,3.353506
7.5,20,3.3795
8.0,21,3.400432
7.5,20,3.426363
8.5,21,3.448303
8.0,20,3.474233
7.5,20,3.495179
8.5,20,3.522106
8.0,19,3.541063
8.5,19,3.575963
7.5,20,3.600895
8.0,21,3.635803
7.5,20,3.672706
7.5,20,3.699633
9.0,20,3.734561
8.5,20,3.759471
8.0,20,3.791385
7.0,19,3.81632
8.0,21,3.852224
9.0,19,3.876397
8.0,20,3.911308
8.5,19,3.934246
8.0,19,3.968156
8.0,20,3.9891
8.5,19,4.020017
8.0,19,4.038967
8.0,20,4.066893
8.0,20,4.093819
8.0,20,4.110774
8.0,19,4.136719
7.5,19,4.153699
9.0,19,4.179632
9.0,19,4.197542
9.0,19,4.221478
9.0,19,4.241444
8.5,20,4.267355
9.0,19,4.284327
8.5,20,4.313232
9.0,19,4.336172
8.5,20,4.36709
8.5,20,4.388033
8.0,20,4.421942
7.0,17,4.441889
9.0,20,4.471809
8.0,19,4.487767
7.5,19,4.5127
9.0,20,4.532646
8.0,19,4.560572
8.0,19,4.579521
9.0,20,4.609442
7.5,18,4.626396
9.0,19,4.654322
7.0,17,4.670278
8.5,20,4.695212
9.0,20,4.721142
9.0,19,4.735105
9.0,19,4.757048
8.5,20,4.772006
9.0,19,4.795948
8.5,19,4.815889
9.0,19,4.846843
7.5,17,4.862763
9.0,19,4.890669
9.0,19,4.908622
8.5,19,4.934552
8.5,20,4.954499
8.5,19,4.982464
9.0,20,5.001374
9.0,19,5.029301
9.0,19,5.049246
9.0,20,5.077171
9.0,19,5.094126
8.5,19,5.117064
9.0,19,5.140003
9.0,20,5.171106
9.0,20,5.18889
9.0,19,5.210816
8.0,18,5.224777
8.5,19,5.24572
7.5,17,5.259683
9.0,20,5.282622
9.0,20,5.297582
8.5,20,5.320521
9.0,19,5.342462
7.0,19,5.356424
8.5,19,5.379364
9.0,19,5.394323
9.0,19,5.416265
8.5,19,5.431225
9.0,19,5.453166
7.5,19,5.468126
8.5,20,5.492062
8.5,19,5.506025
8.0,18,5.52996
8.5,19,5.544921
