#{"t_start": 1693730965.7969706, "env_id": null}
r,l,t
128.0,208,1.19329
121.0,208,1.431653
125.5,210,1.657046
132.5,207,1.881441
132.5,217,2.130517
143.0,217,2.352921
125.5,212,2.583481
128.0,209,2.807882
135.0,209,3.024235
148.5,217,3.261952
133.0,215,3.494794
142.0,214,3.71321
147.0,220,4.000442
137.5,214,4.229829
145.0,213,4.464711
140.5,214,4.69977
134.0,217,4.939977
135.5,216,5.208604
121.0,212,5.448962
121.5,211,5.667377
122.5,213,5.957602
131.5,216,6.2279
128.5,219,6.474647
130.5,210,6.715724
109.0,190,6.918412
113.5,182,7.130012
116.0,175,7.324013
111.5,171,7.508519
106.5,172,7.698011
110.5,172,7.911441
112.5,184,8.12587
120.0,178,8.3197
118.0,179,8.517177
130.5,183,8.712769
119.5,179,8.909754
119.5,186,9.10749
132.5,190,9.320831
133.0,186,9.526329
119.5,175,9.779651
122.0,180,9.993408
124.5,181,10.195084
135.0,187,10.411084
148.0,205,10.632534
147.5,198,10.88087
150.5,207,11.107269
155.0,210,11.343642
150.5,196,11.56106
151.5,200,11.773492
153.0,194,11.996197
164.5,210,12.229572
151.0,204,12.446991
160.5,204,12.671392
157.5,201,12.879834
156.0,200,13.105237
157.0,201,13.325689
173.0,216,13.553615
162.0,207,13.780449
165.0,209,14.018815
164.0,208,14.279126
180.0,221,14.534839
177.0,222,14.779543
173.0,219,15.025677
177.0,221,15.275143
186.0,222,15.508056
182.0,228,15.776848
182.0,221,16.039146
182.5,223,16.297573
186.0,220,16.545652
162.0,211,16.789002
177.5,213,17.022379
179.0,218,17.279197
178.5,218,17.520553
179.5,215,17.755924
169.5,211,18.028194
181.5,216,18.280618
170.0,213,18.523479
181.0,224,18.771815
180.0,221,19.013697
168.5,214,19.253242
181.5,222,19.527847
178.0,214,19.796453
179.0,211,20.101736
181.0,220,20.524299
185.0,217,20.839672
181.0,217,21.220547
186.5,220,21.573661
183.0,218,21.90795
190.0,221,22.226257
181.5,221,22.485563
186.0,216,22.771798
179.5,222,23.007061
184.0,220,23.257421
182.5,217,23.507752
177.5,223,23.75509
183.0,216,24.000436
182.5,213,24.236831
186.5,220,24.49348
188.0,221,24.752575
185.5,215,24.98296
191.0,219,25.226875
194.0,222,25.488177
179.5,214,25.719558
183.5,221,25.966963
177.5,219,26.236774
184.0,211,26.457241
177.5,225,26.72456
187.0,223,26.979884
181.5,211,27.20653
173.5,208,27.450876
184.5,220,27.706566
190.5,218,27.954412
188.5,221,28.246889
172.5,205,28.482978
186.5,217,28.725329
182.5,211,28.987628
180.0,213,29.281622
180.5,215,29.53594
184.0,218,29.840128
175.5,214,30.083952
186.5,213,30.352247
183.0,215,30.604845
181.0,216,30.85717
186.0,217,31.101517
