#{"t_start": 1693741076.599754, "env_id": null}
r,l,t
70.5,94,0.729053
74.5,97,0.837825
64.5,91,0.941538
61.5,86,1.014343
73.0,97,1.097121
66.5,92,1.182892
69.5,93,1.267722
63.0,88,1.351497
73.0,98,1.445385
70.5,95,1.528162
62.0,87,1.607949
69.0,95,1.693719
68.5,88,1.776508
65.0,97,1.864294
66.5,91,1.945113
68.5,98,2.036889
75.0,98,2.122659
63.5,88,2.206428
68.0,92,2.288234
64.0,97,2.379105
72.0,97,2.467925
57.5,89,2.548797
64.0,87,2.629613
65.0,91,2.711362
68.5,94,2.800178
67.5,97,2.919896
66.0,94,3.010717
57.0,84,3.087511
65.5,94,3.171328
66.0,94,3.263083
61.0,84,3.338889
66.5,90,3.421659
61.0,87,3.500509
67.5,95,3.58835
65.5,87,3.668324
68.0,90,3.754164
71.0,88,3.837941
65.5,86,3.911778
69.5,92,3.998579
74.5,98,4.085371
64.5,85,4.165197
65.0,85,4.240996
63.0,83,4.317865
68.5,87,4.393706
59.5,82,4.472479
69.0,86,4.548325
62.5,87,4.630163
66.0,88,4.708956
65.5,88,4.790737
58.5,78,4.876609
66.0,83,4.959339
73.5,92,5.04814
70.0,92,5.129964
72.5,89,5.209862
72.0,90,5.287684
63.0,82,5.365479
69.0,89,5.44623
71.0,89,5.528087
72.0,91,5.606897
67.5,87,5.687779
71.5,90,5.76655
68.0,84,5.84543
72.5,85,5.923239
74.5,94,6.008992
85.5,99,6.098894
79.5,97,6.188657
80.0,94,6.277387
88.0,101,6.371165
87.0,103,6.463897
73.5,95,6.555672
86.5,99,6.646452
74.0,90,6.731236
73.0,89,6.811044
90.0,101,6.940833
88.0,100,7.038628
86.0,100,7.127381
80.0,96,7.217233
83.5,95,7.301712
87.0,101,7.400453
81.0,96,7.488222
89.5,101,7.575047
93.0,102,7.669906
87.5,101,7.768687
88.5,99,7.855438
92.5,102,7.952251
89.0,99,8.039037
91.5,103,8.136776
90.5,98,8.23252
92.0,102,8.325272
91.5,101,8.421926
89.0,97,8.515738
87.0,98,8.605458
89.0,99,8.700284
85.0,96,8.78511
88.0,100,8.88199
81.0,97,8.974832
87.0,101,9.066535
92.5,102,9.165299
92.0,102,9.255088
93.0,102,9.357851
90.0,100,9.457575
93.5,102,9.542348
91.5,101,9.6351
91.0,100,9.715884
91.0,100,9.808636
86.5,98,9.900391
93.5,102,9.988156
92.0,101,10.082903
86.5,100,10.175718
91.0,101,10.263477
92.5,102,10.359252
89.5,101,10.452619
94.0,102,10.539348
86.0,99,10.632133
92.5,103,10.720907
89.0,98,10.812692
94.0,102,10.945306
92.0,100,11.043105
