#{"t_start": 1693876526.8266642, "env_id": null}
r,l,t
7.5,35,1.55864
10.0,34,1.594578
10.0,39,1.83709
8.5,34,1.875901
9.0,34,2.091349
9.5,38,2.143523
7.5,35,2.183207
8.0,37,2.4585
8.5,34,2.500387
8.0,36,2.728707
8.5,37,2.770497
8.5,37,2.813975
9.0,37,3.041309
8.5,34,3.07687
6.5,36,3.290609
9.5,35,3.328218
9.0,36,3.54769
7.5,39,3.589045
9.0,36,3.627426
9.0,40,3.848063
10.0,39,3.889244
11.0,38,4.113674
7.0,35,4.151716
8.0,36,4.38516
7.5,36,4.424258
6.5,33,4.456959
6.0,37,4.672524
8.0,36,4.711964
8.5,37,4.928385
8.5,37,4.967419
10.0,35,5.179851
9.5,34,5.217464
6.0,35,5.257667
8.0,37,5.476439
10.0,34,5.512104
9.5,39,5.726889
9.5,36,5.763825
9.0,37,5.802871
9.5,38,6.017732
6.0,36,6.057618
8.5,37,6.276278
7.5,35,6.314775
8.0,36,6.53857
8.0,37,6.577463
10.5,35,6.615135
8.5,36,6.829802
10.0,38,6.870229
9.5,35,7.083621
8.0,38,7.124454
8.5,33,7.332368
9.0,35,7.369258
8.0,38,7.411449
8.5,36,7.623835
7.5,38,7.666914
8.5,36,7.882641
8.5,37,7.922395
10.0,34,7.959552
9.0,40,8.180328
6.0,36,8.216491
6.5,37,8.43427
8.0,37,8.474674
9.0,35,8.692274
7.5,37,8.731125
10.0,37,8.76981
10.5,38,8.994409
8.0,36,9.034089
8.0,35,9.244751
7.0,41,9.288564
5.5,36,9.503294
9.0,35,9.54145
8.0,35,9.576651
8.5,35,9.788938
10.0,37,9.827941
6.5,36,10.043583
8.5,38,10.084977
9.0,34,10.295372
8.5,36,10.334445
7.5,37,10.373323
9.0,35,10.590428
7.0,34,10.625271
8.0,35,10.846293
8.5,37,10.88611
10.0,36,10.923871
8.5,37,11.136321
6.0,35,11.170212
10.5,37,11.385653
8.0,36,11.424946
8.5,34,11.6455
10.0,36,11.687389
7.5,36,11.722294
7.0,37,11.940363
7.5,35,11.977705
9.5,35,12.194189
6.0,34,12.229584
10.0,39,12.270857
9.0,34,12.498248
8.0,37,12.538339
8.5,36,12.757429
7.5,39,12.797451
9.0,33,13.011905
9.0,37,13.053774
10.0,40,13.09663
7.5,37,13.321052
9.0,36,13.359629
10.0,38,13.579167
8.0,36,13.619258
8.0,35,13.830692
8.5,39,13.873456
8.0,36,13.916339
6.5,35,14.128698
8.5,34,14.164806
9.5,35,14.382143
7.5,34,14.419544
8.5,36,14.458744
8.5,36,14.671017
10.0,40,14.713827
9.5,35,14.931897
8.0,35,14.969266
8.0,35,15.176223
7.5,36,15.215078
10.5,38,15.252108
6.0,35,15.464364
9.5,37,15.503854
8.0,35,15.71381
9.5,39,15.755822
7.5,36,15.966364
8.5,36,16.003367
7.5,40,16.046494
9.5,38,16.26469
9.5,38,16.305595
8.5,36,16.526724
9.0,35,16.567252
7.5,37,16.786677
8.5,35,16.822916
7.5,36,16.862973
9.0,36,17.080214
8.0,36,17.119592
7.0,37,17.342369
7.5,35,17.37889
8.0,38,17.596141
8.5,35,17.639085
8.5,37,17.675929
7.5,36,17.897508
9.0,39,17.938794
8.5,35,18.149091
7.5,39,18.192113
11.5,36,18.23079
9.0,36,18.462203
9.0,34,18.501144
9.5,38,18.713574
9.0,38,18.753274
6.5,37,18.967523
9.0,36,19.006362
10.5,35,19.044296
9.0,36,19.253147
9.0,33,19.286129
8.5,39,19.497979
10.0,37,19.538561
9.5,35,19.75286
9.0,37,19.792657
8.0,40,19.834142
6.5,36,20.049173
9.0,35,20.085802
6.0,36,20.299227
8.0,35,20.337967
7.5,36,20.55541
9.0,37,20.593354
9.5,37,20.632546
8.0,34,20.845778
9.0,33,20.882224
9.5,34,21.086894
9.0,34,21.123433
8.5,38,21.166278
9.0,36,21.385422
9.0,33,21.418412
8.0,34,21.633787
8.0,35,21.670156
10.5,38,21.716825
9.5,34,21.945309
9.5,37,21.983492
8.0,36,22.206313
10.0,36,22.243941
6.5,34,22.281809
7.5,33,22.492316
9.0,39,22.535274
8.0,36,22.748703
8.5,36,22.788596
8.5,37,23.010062
10.0,35,23.045926
9.5,33,23.080842
9.0,34,23.293104
8.5,37,23.331939
8.5,36,23.549829
8.0,35,23.587619
9.5,35,23.625436
9.5,34,23.840947
9.0,37,23.876802
8.5,37,24.093428
10.0,38,24.134149
8.0,38,24.352376
8.5,33,24.38832
7.5,37,24.430298
8.0,35,24.658632
8.0,36,24.694587
8.5,37,24.900037
10.0,37,24.939875
10.0,38,25.153742
8.0,36,25.188542
7.5,35,25.225334
9.5,35,25.432801
8.0,34,25.47013
7.0,36,25.680567
7.5,41,25.725642
9.0,36,25.761349
11.0,36,25.995723
7.5,35,26.030629
8.5,36,26.248048
9.0,35,26.28319
8.5,37,26.496645
9.0,36,26.534302
9.0,37,26.574229
9.5,36,26.787785
10.0,38,26.830814
9.0,34,27.051143
8.5,35,27.090538
11.0,36,27.130448
7.0,36,27.353134
9.0,35,27.387652
9.5,36,27.599897
7.0,35,27.637797
9.0,34,27.847201
10.0,36,27.882484
10.0,40,27.926389
7.5,36,28.14541
7.5,39,28.187136
10.0,34,28.417757
9.0,34,28.454496
8.5,34,28.490864
10.0,38,28.712297
7.5,36,28.752407
8.5,35,28.967097
7.0,40,29.009012
7.5,36,29.22341
8.5,37,29.260484
7.5,35,29.29736
9.0,38,29.511772
7.0,36,29.549703
9.5,42,29.762438
8.5,34,29.801423
8.5,34,30.020798
9.0,34,30.05861
7.0,36,30.095844
8.0,36,30.307078
9.5,35,30.344825
7.5,34,30.56575
7.5,35,30.602784
8.0,35,30.6397
9.5,39,30.853492
10.0,36,30.891454
9.0,35,31.103173
8.0,35,31.1398
6.0,34,31.347422
8.0,38,31.386647
9.5,39,31.426704
8.5,34,31.640246
7.0,38,31.682065
9.5,35,31.915392
8.5,37,31.952293
9.5,36,32.160165
7.5,36,32.198537
8.0,36,32.23565
9.0,35,32.449083
8.0,36,32.487704
8.5,38,32.711088
7.0,37,32.750882
10.0,38,32.790883
8.0,35,33.011133
8.0,38,33.052886
8.5,37,33.276677
11.0,41,33.320724
8.0,37,33.537843
8.5,37,33.579068
9.0,36,33.795267
10.0,37,33.833424
8.0,36,33.873447
7.5,35,34.097284
6.5,36,34.133181
10.0,36,34.345644
12.5,40,34.413433
10.0,35,34.451148
9.5,35,34.663799
9.0,34,34.698724
8.0,34,34.907171
9.5,34,34.944053
7.5,36,34.983347
8.0,35,35.194576
7.5,34,35.236328
10.0,38,35.452736
9.5,33,35.488238
10.0,40,35.704185
9.0,37,35.744108
9.5,35,35.779924
8.0,34,35.987847
8.5,34,36.022767
8.0,35,36.230227
8.0,37,36.269987
9.0,38,36.30962
9.0,33,36.527888
8.0,35,36.564733
8.0,35,36.821089
8.0,40,36.864383
9.5,35,37.076782
9.5,33,37.113041
8.5,39,37.153746
8.0,36,37.360634
8.5,36,37.397535
7.5,38,37.606866
10.0,36,37.646818
6.5,37,37.863811
8.5,37,37.904215
10.0,35,37.93915
9.5,38,38.149867
8.5,37,38.189547
8.0,36,38.396563
9.5,33,38.432186
9.0,33,38.46807
7.5,39,38.684064
7.5,34,38.721237
8.0,39,38.943392
8.0,34,38.980731
8.5,39,39.19425
11.0,36,39.230459
9.0,38,39.27187
8.5,34,39.47986
8.5,34,39.516649
9.5,35,39.723291
10.0,35,39.75997
9.0,35,39.799042
7.5,38,40.017688
8.5,36,40.055898
8.0,38,40.267959
7.0,37,40.306371
7.5,37,40.531272
9.0,35,40.567924
8.0,37,40.607202
10.0,42,40.822599
8.0,33,40.858271
8.0,36,41.065621
8.0,34,41.100875
10.0,36,41.31703
10.0,37,41.356375
7.0,36,41.394127
7.5,36,41.605124
8.0,36,41.642986
7.5,34,41.858416
7.5,38,41.902493
8.5,38,42.128888
7.5,35,42.163794
9.5,36,42.201619
9.5,35,42.433002
8.0,35,42.471294
9.0,38,42.684304
8.5,38,42.723333
7.5,36,42.762033
7.5,36,42.976584
9.0,38,43.016826
10.0,38,43.231962
7.0,36,43.269842
9.5,36,43.479754
8.0,34,43.516596
9.5,34,43.552777
9.5,35,43.769789
9.0,37,43.807168
8.5,36,44.019225
9.5,35,44.057207
9.0,36,44.095469
7.5,36,44.30648
8.0,35,44.340793
8.0,37,44.566182
9.5,35,44.603112
10.0,37,44.813468
8.5,35,44.854394
10.0,36,44.892341
7.5,35,45.103527
8.0,36,45.142707
8.0,37,45.356404
8.5,39,45.397531
9.0,36,45.60612
7.5,36,45.64675
8.5,39,45.687932
7.5,36,45.903435
8.0,36,45.941304
9.0,36,46.157771
8.0,36,46.194625
8.0,35,46.232386
7.0,38,46.483871
10.0,39,46.523678
7.5,35,46.73572
9.0,39,46.777484
7.5,37,46.992963
9.0,35,47.028808
7.0,37,47.068401
7.5,34,47.282551
9.5,40,47.323321
9.0,40,47.535058
6.5,34,47.570361
9.5,36,47.785424
8.5,35,47.822326
