#{"t_start": 1697469266.4103127, "env_id": null}
r,l,t
96.0,151,1.687495
96.0,151,1.839111
96.0,151,2.423576
96.0,151,2.572179
96.0,151,3.162611
96.0,151,3.320247
96.0,151,3.468822
96.0,151,4.035308
96.0,151,4.185906
96.0,151,4.755402
96.0,151,4.915976
96.0,151,5.071589
96.0,151,5.631093
96.0,151,5.778712
96.0,151,6.34722
96.0,151,6.494849
96.0,151,6.649439
96.0,151,7.229946
96.0,151,7.384536
96.0,151,7.951116
96.0,151,8.108721
96.0,151,8.260345
96.0,151,8.82286
96.0,151,8.985425
96.0,151,9.588851
96.0,151,9.742402
96.0,151,9.89303
96.0,151,10.459485
96.0,151,10.608087
96.0,151,11.180576
96.0,151,11.329196
96.0,151,11.482755
96.0,151,12.047239
96.0,151,12.198834
96.0,151,12.764322
96.0,151,12.909933
96.0,151,13.597133
96.0,151,13.748717
96.0,151,13.90238
96.0,151,14.474822
96.0,151,14.63054
96.0,151,15.245405
96.0,151,15.397003
96.0,151,15.547597
96.0,151,16.116076
96.0,151,16.267671
96.0,151,16.847122
96.0,151,17.011682
96.0,151,17.159317
96.0,151,17.729776
96.0,151,17.880407
96.0,151,18.450875
96.0,151,18.600462
96.0,151,18.756056
96.0,151,19.336505
96.0,151,19.489124
96.0,151,20.081526
96.0,151,20.236142
96.0,151,20.387831
96.0,151,20.961339
96.0,151,21.110985
96.0,151,21.676473
96.0,151,21.82707
96.0,151,21.98171
96.0,151,22.553226
96.0,151,22.711823
96.0,151,23.275382
96.0,151,23.434014
96.0,151,24.014533
96.0,151,24.165096
96.0,151,24.317736
96.0,151,24.886216
96.0,151,25.047783
96.0,151,25.615267
96.0,151,25.770902
96.0,151,25.923465
96.0,151,26.499988
96.0,151,26.648591
96.0,151,27.327775
96.0,151,27.489353
96.0,151,27.641998
96.0,151,28.215485
96.0,151,28.372071
96.0,151,28.946568
96.0,151,29.101161
96.0,151,29.262753
96.0,151,29.837235
96.0,151,29.989828
96.0,151,30.559328
96.0,151,30.707931
96.0,151,30.858614
96.0,151,31.4291
96.0,151,31.584709
96.0,151,32.151266
96.0,151,32.309841
96.0,151,32.45645
96.0,151,33.0399
96.0,151,33.188502
96.0,151,33.765959
96.0,151,33.918679
96.0,151,34.068305
96.0,151,34.643788
96.0,151,34.797377
96.0,151,35.368891
96.0,151,35.521538
96.0,151,36.093044
96.0,151,36.247673
96.0,151,36.405299
96.0,151,36.973752
96.0,151,37.142302
96.0,151,37.713784
96.0,151,37.862387
96.0,151,38.019039
96.0,151,38.580507
96.0,151,38.733099
96.0,151,39.307563
96.0,151,39.460194
96.0,151,39.610787
96.0,151,40.291965
96.0,151,40.445578
96.0,151,41.01408
96.0,151,41.183582
96.0,151,41.339166
96.0,151,41.909641
96.0,151,42.064228
96.0,151,42.630714
96.0,151,42.7853
96.0,151,42.933903
96.0,151,43.508421
96.0,151,43.665061
96.0,151,44.235609
96.0,151,44.387295
96.0,151,44.540918
96.0,151,45.123322
96.0,151,45.276916
96.0,151,45.8424
96.0,151,45.99105
96.0,151,46.557663
96.0,151,46.712218
96.0,151,46.861843
96.0,151,47.436386
96.0,151,47.593965
96.0,151,48.157472
96.0,151,48.31215
96.0,151,48.470707
96.0,151,49.042179
96.0,151,49.200754
96.0,151,49.757289
96.0,151,49.915844
96.0,151,50.0814
96.0,151,50.641939
96.0,151,50.790505
96.0,151,51.353
96.0,151,51.503598
96.0,151,51.651222
96.0,151,52.220689
96.0,151,52.376278
96.0,151,52.934792
96.0,151,53.098355
96.0,151,53.254936
96.0,151,53.917166
96.0,151,54.067783
96.0,151,54.630279
96.0,151,54.838566
96.0,151,54.999086
96.0,151,55.555033
96.0,151,55.695369
96.0,151,56.256789
96.0,151,56.393425
96.0,151,56.938187
96.0,151,57.104776
96.0,151,57.250396
96.0,151,57.816787
96.0,151,57.972401
96.0,151,58.542876
96.0,151,58.697097
96.0,151,58.858701
96.0,151,59.453076
96.0,151,59.60938
96.0,151,60.197497
96.0,151,60.352125
96.0,151,60.507763
96.0,151,61.072035
96.0,151,61.237628
96.0,151,61.797298
96.0,151,61.948946
96.0,151,62.102496
96.0,151,62.665683
96.0,151,62.810296
96.0,151,63.37086
96.0,151,63.522578
96.0,151,63.675929
96.0,151,64.238425
96.0,151,64.388053
96.0,151,64.95113
96.0,151,65.105767
96.0,151,65.26538
96.0,151,65.830548
96.0,151,65.985162
96.0,151,66.655005
96.0,151,66.809629
96.0,151,66.963256
96.0,151,67.542707
96.0,151,67.697859
96.0,151,68.266467
96.0,151,68.42507
96.0,151,68.995379
96.0,151,69.163916
96.0,151,69.320497
96.0,151,69.893605
96.0,151,70.043237
96.0,151,70.626354
96.0,151,70.782918
96.0,151,70.937536
96.0,151,71.502069
96.0,151,71.656438
96.0,151,72.224919
96.0,151,72.38154
96.0,151,72.536129
96.0,151,73.112352
96.0,151,73.264973
96.0,151,73.82619
96.0,151,73.977828
96.0,151,74.127465
96.0,151,74.693653
96.0,151,74.848239
96.0,151,75.424737
96.0,151,75.578274
96.0,151,75.730922
96.0,151,76.298461
96.0,151,76.45501
96.0,151,77.018302
96.0,151,77.178993
96.0,151,77.333712
96.0,151,77.899849
96.0,151,78.048469
96.0,151,78.620671
96.0,151,78.771269
96.0,151,79.44051
96.0,151,79.595744
96.0,151,79.749382
96.0,151,80.326838
96.0,151,80.482448
96.0,151,81.053672
96.0,151,81.219279
96.0,151,81.371921
96.0,151,81.938259
96.0,151,82.090824
96.0,151,82.655953
96.0,151,82.807599
96.0,151,82.96218
96.0,151,83.53066
96.0,151,83.6831
96.0,151,84.247601
96.0,151,84.406207
96.0,151,84.561848
96.0,151,85.128252
96.0,151,85.289789
96.0,151,85.86017
96.0,151,86.014787
96.0,151,86.170366
96.0,151,86.741577
96.0,151,86.889201
96.0,151,87.480633
96.0,151,87.625925
96.0,151,87.779516
96.0,151,88.35605
96.0,151,88.512632
96.0,151,89.077106
96.0,151,89.227717
96.0,151,89.797821
96.0,151,89.945478
96.0,151,90.102079
96.0,151,90.692225
96.0,151,90.850838
96.0,151,91.426262
96.0,151,91.582479
96.0,151,91.734853
96.0,151,92.299344
96.0,151,92.451919
96.0,151,93.11176
96.0,151,93.269338
96.0,151,93.419935
96.0,151,93.987104
96.0,151,94.139698
96.0,151,94.712818
96.0,151,94.866417
96.0,151,95.017025
96.0,151,95.593164
96.0,151,95.750762
96.0,151,96.325275
96.0,151,96.47286
96.0,151,96.624039
96.0,151,97.188556
96.0,151,97.353185
96.0,151,97.921345
96.0,151,98.076917
96.0,151,98.230507
96.0,151,98.800659
96.0,151,98.957241
96.0,151,99.524739
96.0,151,99.675204
96.0,151,99.824802
96.0,151,100.386271
96.0,151,100.550831
96.0,151,101.124901
96.0,151,101.286503
96.0,151,101.855608
96.0,151,102.011229
96.0,151,102.167811
96.0,151,102.734974
96.0,151,102.885634
96.0,151,103.465058
96.0,151,103.61832
96.0,151,103.773915
96.0,151,104.335404
96.0,151,104.491048
96.0,151,105.054207
96.0,151,105.213825
96.0,151,105.376361
96.0,151,106.038241
96.0,151,106.194919
96.0,151,106.760452
96.0,151,106.915154
96.0,151,107.074754
96.0,151,107.652269
96.0,151,107.799945
96.0,151,108.369456
96.0,151,108.520053
96.0,151,108.672729
96.0,151,109.23926
96.0,151,109.390856
96.0,151,109.967315
96.0,151,110.117938
96.0,151,110.270504
96.0,151,110.850043
96.0,151,111.002644
96.0,151,111.584105
96.0,151,111.740687
96.0,151,112.305248
96.0,151,112.454892
96.0,151,112.614465
96.0,151,113.186964
96.0,151,113.34554
96.0,151,113.907119
96.0,151,114.062667
96.0,151,114.217252
96.0,151,114.783776
96.0,151,114.929446
96.0,151,115.525875
96.0,151,115.683488
