#{"t_start": 1693873118.3433459, "env_id": null}
r,l,t
184.5,244,1.758167
172.5,235,2.039414
176.0,243,2.341607
172.0,239,2.632829
183.0,239,2.878173
188.0,248,3.125511
176.5,241,3.354898
185.5,251,3.590269
169.5,233,3.816663
182.5,250,4.064002
173.0,236,4.272445
179.5,231,4.499837
194.5,262,4.741192
173.5,238,4.9786
181.5,239,5.218915
179.0,237,5.442317
157.0,224,5.678713
191.0,254,5.930014
187.5,251,6.170398
178.5,251,6.41372
189.5,253,6.634133
173.5,241,6.874488
185.5,246,7.122854
175.0,244,7.354234
186.0,253,7.607557
175.5,241,7.837913
181.0,243,8.087248
175.0,242,8.326606
180.0,242,8.557987
179.0,243,8.792361
175.5,242,9.004805
179.5,243,9.236175
165.0,228,9.459577
181.5,247,9.706917
176.5,238,9.947273
185.0,261,10.205583
176.5,240,10.425994
195.5,257,10.667349
170.0,235,10.879781
193.0,253,11.12313
178.5,247,11.355508
174.5,240,11.569935
190.5,250,11.805306
179.5,241,12.022737
185.0,246,12.267109
184.0,253,12.510421
190.5,258,12.743797
175.5,232,12.959221
181.5,243,13.187611
177.0,249,13.418993
171.0,234,13.647454
184.5,246,13.878835
185.0,241,14.121187
186.5,248,14.369522
181.5,247,14.596916
180.0,244,14.832313
183.5,245,15.062681
184.5,253,15.312003
171.5,232,15.543385
166.5,224,15.759834
170.5,239,15.988223
178.5,248,16.230575
181.5,248,16.458967
183.5,257,16.721263
170.0,243,16.940676
180.0,253,17.194968
186.0,251,17.431365
167.0,237,17.654767
165.5,231,17.887146
178.5,245,18.120495
180.0,242,18.37282
176.5,240,18.618191
178.0,245,18.854585
189.5,255,19.116831
179.5,248,19.36617
182.5,254,19.609518
187.5,250,19.917717
176.0,237,20.176997
166.0,227,20.411371
182.5,248,20.649733
163.5,233,20.885131
164.0,228,21.109504
168.5,233,21.359835
167.5,233,21.573264
161.0,227,21.782704
168.5,233,21.983169
168.0,224,22.203579
164.5,228,22.437953
158.5,222,22.660357
164.0,222,22.870796
156.0,213,23.091206
163.0,217,23.300647
153.5,214,23.514102
164.0,224,23.749446
155.5,210,23.948913
163.5,226,24.176305
146.5,207,24.43165
150.5,206,24.639096
146.0,205,24.853494
152.5,210,25.054956
147.5,204,25.25049
143.0,200,25.463908
155.0,211,25.668344
143.5,203,25.88374
156.0,208,26.092183
153.5,207,26.30661
144.5,196,26.489122
139.0,193,26.671661
148.5,198,26.869106
146.0,200,27.070526
146.5,198,27.256029
153.0,201,27.449512
145.5,198,27.623048
147.5,197,27.811571
144.5,199,28.014864
144.0,206,28.238273
146.5,196,28.442694
136.5,185,28.629195
145.0,199,28.8247
133.5,186,29.001227
133.0,178,29.167755
137.5,188,29.362236
141.0,192,29.548785
145.5,187,29.738229
137.0,193,29.920742
144.5,194,30.125553
138.0,188,30.298092
137.5,186,30.481601
131.5,190,30.658134
141.5,185,30.827675
139.5,192,31.012182
139.5,184,31.180732
136.0,187,31.354306
138.5,188,31.529837
141.5,187,31.699384
134.0,187,31.863943
138.0,185,32.043463
140.5,188,32.233954
140.0,185,32.404503
130.0,182,32.56507
135.0,191,32.746585
128.5,173,32.912141
130.0,181,33.077698
134.5,180,33.23428
136.5,190,33.409811
130.0,170,33.568387
126.5,181,33.738931
137.0,183,33.913471
128.5,180,34.083012
131.0,187,34.263529
136.5,187,34.450029
124.0,174,34.628775
119.0,170,34.785353
140.5,184,34.962878
130.5,176,35.124475
125.5,175,35.295988
128.5,176,35.466532
131.0,182,35.631092
129.0,177,35.799642
119.5,174,35.95722
127.0,173,36.122779
129.0,176,36.300304
127.0,175,36.473108
131.0,180,36.637641
137.0,181,36.82018
123.5,168,36.977732
132.0,172,37.134313
129.0,179,37.308875
128.0,178,37.47939
123.5,176,37.651974
128.0,174,37.817514
130.5,179,37.994042
125.0,172,38.172537
135.5,176,38.339092
123.0,174,38.507642
132.0,175,38.668239
131.5,182,38.840751
129.5,178,39.003346
128.5,177,39.184831
125.0,170,39.356372
123.5,173,39.520932
130.0,170,39.675519
122.0,171,39.832127
118.0,167,40.003642
127.5,175,40.167236
124.5,173,40.331793
125.0,173,40.491341
123.5,169,40.661911
119.0,171,40.816469
126.0,179,40.991003
130.0,177,41.16055
121.5,171,41.324111
130.0,178,41.490666
124.0,168,41.653231
119.0,165,41.804826
119.0,170,41.966395
128.5,172,42.129984
128.0,170,42.291553
125.0,174,42.451126
124.5,171,42.606695
121.5,166,42.762266
125.5,174,42.939793
122.5,170,43.110364
119.5,171,43.276901
127.0,174,43.443448
124.5,169,43.606038
134.0,180,43.799494
114.5,170,43.973038
126.5,172,44.161562
127.5,170,44.339078
119.5,169,44.503639
121.5,171,44.672161
121.0,169,44.848715
128.0,174,45.024219
121.5,166,45.195808
131.5,175,45.375317
120.0,169,45.531862
123.5,169,45.699415
123.0,169,45.856992
120.0,167,46.015588
127.0,174,46.179132
124.5,167,46.351671
130.5,175,46.528199
128.5,170,46.677826
125.0,172,46.85034
123.0,168,47.010908
125.0,170,47.169484
128.0,170,47.340056
124.5,172,47.497634
121.0,167,47.671182
125.5,171,47.843716
125.0,168,48.002259
130.0,171,48.15884
118.5,165,48.329383
127.0,172,48.533836
120.0,168,48.676484
128.0,174,48.877918
121.5,168,49.056439
119.5,167,49.225987
120.0,165,49.36564
133.5,172,49.552117
120.0,170,49.772526
123.0,165,49.944067
123.0,171,50.322056
130.0,168,50.608293
123.5,174,50.824712
122.5,165,51.396186
124.0,171,51.740265
116.5,167,52.010542
128.0,170,52.177097
119.5,168,52.335673
128.5,170,52.502256
122.0,172,52.724633
125.5,170,52.928089
117.0,165,53.090682
126.0,170,53.257236
129.0,174,53.474628
129.0,169,53.64121
121.5,172,53.81481
128.0,173,54.014445
123.0,167,54.218898
122.5,169,54.392528
126.5,170,54.569979
122.0,169,54.761878
122.0,167,55.004099
124.5,170,55.180627
126.5,168,55.374339
123.0,166,55.546843
126.5,166,55.730682
128.5,171,55.942938
124.0,169,56.133428
124.0,169,56.354836
121.0,170,56.519397
117.5,168,56.681962
123.5,168,56.863348
123.0,168,57.044836
