#{"t_start": 1694685216.0827184, "env_id": null}
r,l,t
5.5,16,2.156139
6.0,17,3.006041
6.5,17,3.021
6.5,17,3.231137
6.5,16,3.2451
6.0,17,3.454502
6.0,16,3.467503
4.0,13,3.679898
4.0,13,3.690869
4.0,13,3.700848
5.0,14,3.903925
4.0,13,3.914744
3.5,12,4.123087
3.0,12,4.139074
3.5,12,4.146026
3.5,12,4.351887
3.0,12,4.366846
3.5,12,4.374825
3.5,12,4.580917
3.0,12,4.589915
3.5,12,4.797444
3.0,12,4.812403
3.5,12,4.820419
3.0,12,5.021883
3.0,12,5.030843
3.0,12,5.046814
3.0,12,5.249872
3.5,12,5.259847
3.5,12,5.465296
3.5,12,5.474309
3.5,12,5.489231
3.0,12,5.694258
3.5,12,5.70124
3.5,12,5.717236
3.5,12,5.917711
3.5,12,5.934656
3.5,12,6.150643
3.5,12,6.160648
3.5,12,6.176613
3.5,12,6.373821
3.5,12,6.389756
3.0,12,6.404702
3.5,12,6.606716
3.5,12,6.621676
3.5,12,6.821169
3.0,12,6.836103
3.5,12,6.85206
3.5,12,7.062536
3.5,12,7.078455
3.5,12,7.087431
3.5,12,7.287019
3.5,12,7.302938
3.5,12,7.502405
3.5,12,7.519391
3.0,12,7.52634
3.5,12,7.73684
3.5,12,7.753786
3.0,12,7.762762
3.0,12,7.967959
3.0,12,7.975941
3.5,12,8.188261
3.0,12,8.205215
3.0,12,8.214191
3.5,12,8.437106
3.0,12,8.443089
3.5,12,8.457052
3.0,12,8.666493
3.0,12,8.674509
3.0,12,8.881916
3.0,12,8.889932
3.0,12,8.906851
3.0,12,9.1123
3.0,12,9.120279
3.0,12,9.135245
3.5,12,9.33176
3.0,12,9.347717
3.0,12,9.550176
3.0,12,9.558155
3.5,12,9.574112
3.5,12,9.775377
3.0,12,9.790337
3.5,12,9.805296
3.5,12,10.001773
3.0,12,10.018726
3.0,12,10.219002
3.0,12,10.234959
3.5,12,10.249922
3.5,12,10.447391
3.5,12,10.464387
3.5,12,10.472325
3.5,12,10.676363
3.0,12,10.69232
3.5,12,10.96083
3.0,12,10.976795
3.5,12,10.985745
3.0,12,11.190807
3.5,12,11.206734
3.5,12,11.214705
3.0,12,11.419243
3.0,12,11.429249
3.5,12,11.632672
3.5,12,11.64863
3.5,12,11.657605
3.5,12,11.868043
3.5,12,11.877034
3.5,12,11.892977
3.5,12,12.113387
3.5,12,12.121279
3.5,12,12.32528
3.5,12,12.334296
3.0,12,12.349217
3.5,12,12.553765
3.5,12,12.561743
3.0,12,12.577696
3.5,12,12.775776
3.5,12,12.790696
3.5,12,12.996084
3.5,12,13.004055
3.5,12,13.020051
3.5,12,13.21405
3.5,12,13.231004
3.5,12,13.24496
3.5,12,13.446458
3.0,12,13.462379
3.5,12,13.656859
3.5,12,13.673815
3.5,12,13.688774
3.5,12,13.902231
3.5,12,13.919194
3.5,12,13.928134
3.5,12,14.136157
3.5,12,14.152103
3.5,12,14.352607
3.5,12,14.367527
3.5,12,14.375165
3.5,12,14.58019
3.5,12,14.596112
3.5,12,14.605089
3.5,12,14.808122
3.5,12,14.816131
3.5,12,15.019556
3.5,12,15.035514
3.5,12,15.04352
3.5,12,15.251155
3.5,12,15.259134
3.5,12,15.274094
3.5,12,15.479546
3.5,12,15.489527
3.5,12,15.691525
3.5,12,15.699493
3.5,12,15.715422
3.5,12,15.921951
3.5,12,15.931897
3.5,12,15.946844
3.5,12,16.144092
3.5,12,16.160041
3.5,12,16.367969
3.0,12,16.376941
3.5,12,16.391249
3.5,12,16.592724
3.5,12,16.608669
3.5,12,16.623628
3.5,12,16.819106
3.5,12,16.835162
3.5,12,17.03758
3.5,12,17.053539
3.5,12,17.07149
3.5,12,17.277607
3.5,12,17.293564
3.0,12,17.301542
3.5,12,17.506294
3.5,12,17.522277
3.5,12,17.717809
3.5,12,17.733731
3.5,12,17.742706
3.5,12,17.950144
3.5,12,17.967072
3.5,12,17.974056
3.5,12,18.176326
3.5,12,18.184298
3.5,12,18.392706
3.5,12,18.408661
3.5,12,18.416644
3.5,12,18.622128
3.5,12,18.631068
3.0,12,18.646026
3.5,12,18.848486
3.5,12,18.855468
3.5,12,19.061915
3.5,12,19.070891
3.5,12,19.086849
3.5,12,19.292097
3.5,12,19.300075
3.5,12,19.317029
3.5,12,19.512017
4.5,13,19.528972
3.5,12,19.73047
4.5,13,19.738413
4.5,13,19.756364
3.5,12,19.96184
3.5,12,19.97079
3.5,12,20.17632
3.5,12,20.184298
3.5,12,20.199221
3.5,12,20.413508
4.5,13,20.423482
4.5,13,20.438478
3.5,12,20.635953
4.5,13,20.652868
4.5,13,20.858146
4.5,13,20.869117
4.0,13,20.885074
4.5,13,21.090142
4.5,13,21.099118
3.5,12,21.306312
4.0,13,21.322288
4.0,13,21.331245
4.5,13,21.533746
4.5,13,21.549661
4.5,13,21.812221
4.5,13,21.828179
4.5,13,21.836189
4.5,13,22.044657
4.5,13,22.060616
4.5,13,22.257948
4.5,13,22.275909
4.5,13,22.484342
4.5,13,22.492321
4.5,13,22.508278
4.5,13,22.713794
4.5,13,22.721771
4.5,13,22.929216
4.5,13,22.945174
4.5,13,22.953152
4.5,13,23.158327
4.5,13,23.175304
4.5,13,23.373772
4.5,13,23.38973
4.5,13,23.406726
4.5,13,23.606152
4.5,13,23.623106
4.5,13,23.822121
4.5,13,23.839024
4.5,13,23.857966
4.5,13,24.078764
4.5,13,24.099708
4.5,13,24.35568
4.5,13,24.364656
4.5,13,24.379615
4.5,13,24.603018
4.5,13,24.610996
4.5,13,24.813455
4.5,13,24.829457
4.5,13,24.838433
4.5,13,25.044881
4.5,13,25.060904
4.5,13,25.264266
4.5,13,25.281193
4.5,13,25.588952
4.5,13,25.598958
4.5,13,25.61392
4.5,13,25.81078
4.5,13,25.827756
4.5,13,26.03469
4.5,13,26.042669
4.5,13,26.059623
4.5,13,26.267972
4.5,13,26.275985
4.5,13,26.487386
4.5,13,26.50434
4.5,13,26.513321
4.5,13,26.718767
4.5,13,26.734725
4.5,13,26.935311
4.5,13,26.951268
4.5,13,26.966522
4.5,13,27.172974
4.5,13,27.190943
4.5,13,27.407391
4.5,13,27.417364
4.5,13,27.433322
4.5,13,27.635757
4.5,13,27.652672
4.5,13,27.862079
4.5,13,27.870058
4.5,13,27.887049
4.5,13,28.096471
4.5,13,28.104449
4.5,13,28.311895
4.5,13,28.328886
4.5,13,28.535335
4.5,13,28.55325
4.5,13,28.568209
