#{"t_start": 1693730286.9679163, "env_id": null}
r,l,t
90.5,150,3.523959
82.5,133,3.666996
82.5,133,3.85746
82.5,133,4.002072
82.5,133,4.167629
82.5,133,4.308254
82.5,133,4.501736
82.5,133,4.654763
82.5,133,4.788545
82.5,133,4.955132
82.5,133,5.090827
82.5,133,5.241932
82.5,133,5.406276
82.5,133,5.557391
82.5,133,5.732239
82.5,133,6.009514
82.5,133,6.242053
82.5,133,6.482409
82.5,133,6.636003
82.5,133,6.852422
82.5,133,7.072406
82.5,133,7.265414
82.5,133,7.42399
82.5,133,7.605505
82.5,133,7.771063
82.5,133,7.98447
82.5,133,8.168456
82.5,133,8.332019
82.5,133,8.485382
82.5,133,8.655925
82.5,133,8.798544
82.5,133,9.022444
82.5,133,9.373573
82.5,133,10.316595
82.5,133,10.864293
82.5,133,11.200385
82.5,133,11.431172
82.5,133,11.637726
82.5,133,11.819753
82.5,133,12.002865
82.5,133,12.152546
82.5,133,12.303176
82.5,133,12.454771
82.5,133,12.602617
82.5,133,12.764185
82.5,133,12.903812
82.5,133,13.046233
82.5,133,13.250196
82.5,133,13.392218
82.5,133,13.553789
82.5,133,13.697394
82.5,133,13.846994
82.5,133,14.01827
82.5,133,14.162883
82.5,133,14.319463
82.5,133,14.469063
82.5,133,14.607692
82.5,133,14.764275
82.5,133,14.912879
82.5,133,15.069458
82.5,133,15.219398
82.5,133,15.370399
82.5,133,15.532965
82.5,133,15.687067
82.5,133,15.851628
82.5,133,16.002225
82.5,133,16.153819
82.5,133,16.350294
82.5,133,16.486928
82.5,133,16.653484
82.5,133,16.791718
82.5,133,16.941318
82.5,133,17.103387
82.5,133,17.245388
82.5,133,17.405232
82.5,133,17.562327
82.5,133,17.705942
82.5,133,17.882471
82.5,133,18.067974
82.5,133,18.220567
82.5,133,18.367799
82.5,133,18.521608
82.5,133,18.684173
82.5,133,18.83355
82.5,133,18.996119
82.5,133,19.135019
82.5,133,19.290605
82.5,133,19.455531
82.5,133,19.600157
82.5,133,19.755739
82.5,133,19.909346
82.5,133,20.0534
82.5,133,20.228639
82.5,133,20.388204
82.5,133,20.571784
82.5,133,20.738338
82.5,133,20.877389
82.5,133,21.028509
82.5,133,21.167138
82.5,133,21.316252
82.5,133,21.469877
82.5,133,21.632443
82.5,133,21.781045
82.5,133,21.926656
82.5,133,22.084486
82.5,133,22.218129
82.5,133,22.361745
82.5,133,22.515338
82.5,133,22.680821
82.5,133,22.836557
82.5,133,22.978684
82.5,133,23.133818
82.5,133,23.291368
82.5,133,23.436969
82.5,133,23.599534
82.5,133,23.751129
82.5,133,23.895743
82.5,133,24.053561
82.5,133,24.207881
82.5,133,24.352494
82.5,133,24.503091
82.5,133,24.654706
82.5,133,24.801341
82.5,133,24.955907
82.5,133,25.11639
82.5,133,25.259989
82.5,133,25.419588
82.5,133,25.581745
82.5,133,25.732948
82.5,133,25.887697
82.5,133,26.036289
