#{"t_start": 1693742418.1483986, "env_id": null}
r,l,t
567.5,642,2.948705
560.0,646,3.625929
567.0,648,4.263326
567.0,648,4.862744
574.5,651,5.533232
579.0,655,6.189085
580.5,654,6.817572
587.0,653,7.450221
591.5,654,8.087562
587.0,653,8.736018
594.0,655,9.385261
601.5,653,9.993815
597.5,652,10.630291
598.5,653,11.289742
603.0,654,11.917982
603.5,653,12.495458
598.5,654,13.118041
603.0,654,13.741118
597.0,654,14.37006
599.5,651,14.964566
601.0,653,15.634849
593.0,650,16.281409
591.0,652,16.880429
594.5,653,17.561809
600.5,653,18.197264
593.0,653,18.838878
593.0,652,19.432321
599.5,652,20.064883
593.0,653,20.707348
586.5,652,21.3649
600.5,653,21.967329
597.0,650,22.59385
606.0,652,23.260811
598.0,651,23.901068
612.0,656,24.494753
601.5,650,25.117139
606.5,653,25.802225
605.5,646,26.446668
598.5,649,27.00383
600.5,650,27.664136
600.0,648,28.26817
602.5,649,28.859571
601.5,652,29.483031
599.5,650,30.114504
597.5,648,30.745917
600.5,650,31.342433
598.5,650,31.980592
599.5,649,32.618894
601.5,651,33.272897
603.5,652,33.876434
604.5,652,34.520809
603.5,652,35.157394
600.5,653,35.815636
598.5,651,36.416794
599.5,653,37.06574
607.0,654,37.746055
599.0,652,38.393141
596.0,651,38.995362
610.0,650,39.64377
597.5,649,40.286172
610.5,653,40.920263
609.0,653,41.525981
599.0,654,42.154085
600.0,653,42.775354
603.0,652,43.416572
596.0,650,44.051345
605.0,653,44.682747
598.0,651,45.349169
605.5,654,45.946851
598.5,651,46.584178
595.5,650,47.203376
597.0,650,47.863342
603.0,653,48.441823
601.0,652,49.077567
601.0,651,49.74786
608.0,653,50.355242
612.5,652,50.962507
599.0,650,51.625819
606.0,652,52.25298
606.5,652,52.892763
604.5,652,53.491472
600.0,649,54.121933
604.5,654,54.756355
610.5,654,55.377723
603.0,653,56.021705
600.0,649,56.636091
603.0,652,57.27372
608.5,653,57.907835
609.0,653,58.534241
597.5,652,59.176985
599.0,651,59.828273
601.5,653,60.406458
598.5,653,61.046673
604.0,652,61.670206
598.0,651,62.283634
