#{"t_start": 1693740617.401158, "env_id": null}
r,l,t
158.182142,205,0.985081
149.632519,205,1.14565
148.251437,205,1.312205
147.518016,205,1.47879
148.771258,205,1.644612
154.204508,205,1.813219
155.148081,205,1.971857
147.539491,205,2.13648
148.727424,205,2.442109
141.470451,205,2.604036
149.916735,205,2.768675
149.735443,205,2.931242
147.758228,205,3.091822
145.576627,205,3.252434
145.059609,205,3.417072
144.712977,205,3.578815
151.150612,205,3.750864
148.846626,205,3.902458
147.982243,205,4.06009
148.12922,205,4.254629
154.045699,205,4.417195
151.282475,205,4.578525
145.343139,205,4.738111
147.481351,205,4.89682
150.629802,205,5.057378
144.576274,205,5.222019
146.68531,205,5.391782
155.60603,205,5.553416
148.252475,205,5.711678
144.682953,205,5.876435
148.957794,205,6.032016
152.013884,205,6.225523
154.838968,205,6.392114
144.450645,205,6.563504
151.950766,205,6.73803
154.512381,205,6.900771
151.372155,205,7.059348
157.510925,205,7.221944
146.090147,205,7.380615
156.394375,205,7.549209
155.162841,205,7.714684
147.1199,205,7.880334
157.581562,205,8.04095
155.487316,205,8.246463
149.582329,205,8.405122
158.749195,205,8.564745
151.2475,205,8.726516
153.020962,205,8.88618
150.083449,205,9.046867
154.152298,205,9.208457
151.767977,205,9.373017
160.915649,205,9.537578
152.44762,205,9.710986
153.646265,205,9.875576
154.901867,205,10.039138
154.311723,205,10.229915
157.032467,205,10.402297
150.125516,205,10.57287
155.780981,205,10.738334
153.781296,205,10.901993
149.246735,205,11.067645
151.29058,205,11.231391
154.823488,205,11.39522
149.28179,205,11.560795
156.043572,205,11.728064
147.047971,205,11.889745
160.514128,205,12.055342
149.684794,205,12.231059
146.288523,205,12.400606
149.857411,205,12.575139
149.215001,205,12.737541
149.708344,205,12.901102
147.385798,205,13.070767
152.356899,205,13.238344
156.368517,205,13.400978
153.070793,205,13.561648
147.796855,205,13.722964
155.825935,205,13.889508
160.571579,205,14.0551
150.9195,205,14.219692
148.430659,205,14.407357
154.463865,205,14.568965
149.996518,205,14.733188
158.377797,205,14.89786
158.197562,205,15.059505
159.862542,205,15.22215
155.32863,205,15.403103
151.28631,205,15.59354
154.151632,205,15.752808
155.673619,205,15.901476
158.281858,205,16.061098
148.131707,205,16.222677
152.25766,205,16.424139
153.339444,205,16.589291
154.011953,205,16.749921
157.681423,205,16.923677
155.740399,205,17.083277
159.944323,205,17.242982
160.68827,205,17.402591
157.125978,205,17.565336
156.339988,205,17.731344
157.859546,205,17.897929
151.492732,205,18.057681
150.326531,205,18.224261
154.906875,205,18.401979
160.873852,205,18.566608
160.744356,205,18.730031
154.116973,205,18.892814
158.076578,205,19.060367
156.400755,205,19.222044
159.702914,205,19.386666
168.73002,205,19.553281
152.832204,205,19.728505
155.477788,205,19.89421
155.35385,205,20.054676
155.023459,205,20.222749
155.943145,205,20.419094
159.72003,205,20.584619
159.991369,205,20.748969
156.819829,205,20.912494
162.888214,205,21.073112
158.598246,205,21.244741
154.524023,205,21.414287
156.008569,205,21.581682
156.643737,205,21.744468
155.74131,205,21.90605
161.28793,205,22.064671
157.812575,205,22.230348
161.970651,205,22.391905
159.52851,205,22.558495
163.701312,205,22.736989
157.961446,205,22.900626
163.208822,205,23.063346
159.501667,205,23.227967
165.378609,205,23.392624
165.825852,205,23.55624
156.994779,205,23.717616
164.314348,205,23.890202
161.36451,205,24.066723
157.205901,205,24.220311
159.119881,205,24.409835
165.548368,205,24.572648
162.374942,205,24.731968
161.506311,205,24.895687
158.580516,205,25.053275
164.133888,205,25.216838
158.114288,205,25.382455
159.875852,205,25.558984
159.26272,205,25.719252
157.187569,205,25.878831
158.13581,205,26.04251
154.670531,205,26.210063
163.248284,205,26.390616
165.374782,205,26.556259
158.764783,205,26.714968
160.039287,205,26.875572
159.049247,205,27.052134
160.481345,205,27.21371
163.529522,205,27.380361
158.951657,205,27.547974
163.459938,205,27.707531
161.946885,205,27.869182
163.292919,205,28.033803
161.33899,205,28.197365
168.2134,205,28.393933
167.016898,205,28.555617
167.762168,205,28.726065
163.110254,205,28.89072
162.721992,205,29.049445
170.69119,205,29.212978
157.698864,205,29.375621
163.715532,205,29.542214
159.259752,205,29.704024
168.190761,205,29.882547
166.487484,205,30.044221
169.087623,205,30.203917
168.838857,205,30.372572
166.641439,205,30.537177
165.093316,205,30.698472
159.581361,205,30.859135
161.964919,205,31.028726
166.317355,205,31.187397
169.289406,205,31.362077
163.291382,205,31.528648
170.851525,205,31.690927
169.76828,205,31.854455
167.413438,205,32.01406
167.530624,205,32.17571
170.742494,205,32.376263
167.681461,205,32.544933
165.157887,205,32.718334
159.278497,205,32.878961
165.280578,205,33.039492
167.078593,205,33.199131
172.379178,205,33.365784
168.478174,205,33.528345
169.394876,205,33.693893
163.285009,205,33.856492
169.544351,205,34.020122
171.844352,205,34.199641
170.892548,205,34.355226
168.898098,205,34.513829
168.008914,205,34.671257
173.71234,205,34.832825
172.763782,205,34.990432
169.609483,205,35.148979
171.647853,205,35.307677
165.379935,205,35.465338
169.41707,205,35.637828
169.439441,205,35.80447
174.272762,205,35.968085
168.750867,205,36.134749
175.560239,205,36.300536
173.150955,205,36.511705
169.441168,205,36.678491
171.490949,205,36.837162
171.625279,205,37.007737
173.097618,205,37.172381
174.45891,205,37.349907
168.300289,205,37.514467
174.622062,205,37.682875
