#{"t_start": 1693616758.929438, "env_id": null}
r,l,t
8.139968,9,2.439725
8.405565,9,2.445709
6.703704,9,3.175319
7.99523,9,3.181303
6.622554,9,3.241143
6.799383,9,3.247127
7.997116,9,3.254108
7.71579,9,3.259097
8.652199,9,3.284029
7.368258,9,3.288017
8.286327,9,3.293003
7.98906,9,3.30198
8.033634,9,3.320929
7.134321,9,3.332917
7.645059,9,3.337884
6.056169,9,3.344865
6.574904,9,3.36182
6.383467,9,3.370796
6.230841,9,3.374785
6.078652,9,3.380805
5.481481,9,3.402711
5.481481,9,3.407697
5.481481,9,3.420662
5.481481,9,3.425649
5.481481,9,3.448587
5.481481,9,3.453574
5.481481,9,3.465548
5.481481,9,3.46959
5.481481,9,3.496561
5.481481,9,3.501506
5.481481,9,3.507492
5.481481,9,3.523447
5.481481,9,3.541398
5.481481,9,3.555362
5.481481,9,3.561345
5.481481,9,3.573314
5.481481,9,3.579298
5.481481,9,3.607223
5.481481,9,3.613207
5.481481,9,3.617197
5.481481,9,3.630162
5.481481,9,3.650108
5.481481,9,3.662076
5.481481,9,3.667063
5.481481,9,3.680029
5.481481,9,3.701989
5.481481,9,3.715933
5.481481,9,3.721917
5.481481,9,3.738871
5.481481,9,3.767793
5.481481,9,3.775774
5.481481,9,3.790732
5.481481,9,3.796716
5.481481,9,3.82863
5.481481,9,3.833618
5.481481,9,3.847585
5.481481,9,3.854249
5.481481,9,3.879185
5.481481,9,3.883175
5.481481,9,3.888162
5.481481,9,3.898135
5.481481,9,3.91509
5.481481,9,3.929053
5.481481,9,3.935036
5.481481,9,3.948002
5.481481,9,3.963959
5.481481,9,3.97493
5.481481,9,3.978919
5.481481,9,3.989889
5.481481,9,4.004436
5.481481,9,4.009423
5.481481,9,4.019397
5.481481,9,4.023385
5.481481,9,4.034356
5.481481,9,4.052308
5.481481,9,4.065273
5.481481,9,4.07026
5.481481,9,4.083226
5.481481,9,4.101177
5.481481,9,4.106164
5.481481,9,4.118022
5.481481,9,4.122014
5.481481,9,4.147964
5.481481,9,4.152931
5.481481,9,4.165896
5.481481,9,4.169886
5.481481,9,4.193826
5.481481,9,4.198809
5.481481,9,4.208795
5.481481,9,4.214766
5.481481,9,4.231721
5.481481,9,4.243689
5.481481,9,4.248675
5.481481,9,4.259646
5.481481,9,4.277598
5.481481,9,4.288568
5.481481,9,4.292558
5.481481,9,4.305523
5.481481,9,4.322477
5.481481,9,4.327485
5.481481,9,4.33644
5.481481,9,4.341427
5.481481,9,4.364366
5.481481,9,4.369352
5.481481,9,4.380323
5.481481,9,4.384312
5.481481,9,4.406253
5.481481,9,4.411252
5.481481,9,4.424206
5.481481,9,4.43119
5.481481,9,4.435176
5.481481,9,4.457118
5.481481,9,4.462111
5.481481,9,4.474072
5.481481,9,4.478062
5.481481,9,4.500003
5.481481,9,4.505027
5.481481,9,4.515006
5.481481,9,4.51999
5.481481,9,4.533913
5.481481,9,4.545881
5.481481,9,4.550867
5.481481,9,4.562835
5.481481,9,4.577809
5.481481,9,4.587768
5.481481,9,4.593753
5.481481,9,4.604723
5.481481,9,4.621678
5.481481,9,4.631652
5.481481,9,4.635641
5.481481,9,4.641624
5.481481,9,4.663566
5.481481,9,4.668553
5.481481,9,4.678554
5.481481,9,4.685507
5.481481,9,4.705466
5.481481,9,4.710441
5.481481,9,4.721411
5.481481,9,4.726397
5.481481,9,4.741358
5.481481,9,4.754323
