#{"t_start": 1693545866.5559757, "env_id": null}
r,l,t
355.424015,533,3.036206
362.604128,533,3.46863
355.294559,533,3.896169
355.253283,533,4.330348
355.157598,533,4.753448
359.701689,533,5.16912
350.228893,533,5.632944
341.016886,533,6.066781
347.889306,533,6.480358
347.493433,533,6.905115
353.489681,533,7.81233
351.219512,533,8.238359
359.39212,533,8.661837
366.45591,533,9.084563
354.60788,533,9.50505
361.307692,533,9.925099
347.969981,533,10.350348
338.611632,533,10.766255
348.49531,533,11.191701
352.958724,533,11.636521
351.150094,533,12.358449
346.142589,533,12.787292
357.414634,533,13.201205
359.609756,533,13.741682
348.733583,533,14.167556
353.885553,533,14.585816
376.093809,533,15.010034
354.292683,533,15.455062
347.834897,533,15.873603
346.782364,533,16.291273
346.075047,533,17.006866
362.410882,533,17.423427
348.988743,533,17.868595
363.285178,533,18.286237
354.208255,533,18.704732
353.422139,533,19.125191
353.35272,533,19.559195
348.863039,533,19.976735
355.891182,533,20.402021
350.204503,533,20.820294
347.639775,533,21.590225
359.268293,533,22.013918
341.033771,533,22.431904
356.744841,533,22.853753
346.073171,533,23.280275
348.275797,533,23.685229
355.101313,533,24.098744
346.341463,533,24.51749
358.838649,533,24.93976
355.281426,533,25.363365
357.399625,533,26.126247
365.251407,533,26.558784
362.401501,533,26.979258
349.148218,533,27.405602
356.613508,533,27.854682
372.765478,533,28.278126
356.26454,533,28.702119
347.966229,533,29.117811
347.058161,533,29.575896
361.557223,533,29.990355
358.857411,533,30.715502
350.399625,533,31.136371
345.484053,533,31.586548
349.690432,533,32.008408
351.02439,533,32.433804
354.382739,533,32.852421
359.816135,533,33.27586
352.900563,533,33.737945
356.302064,533,34.155637
349.193246,533,34.582416
342.645403,533,35.299029
359.626642,533,35.714451
357.774859,533,36.107307
364.448405,533,36.51574
353.636023,533,36.913745
353.964353,533,37.314032
354.977486,533,37.726362
361.78424,533,38.130833
343.311445,533,38.554931
354.791745,533,38.973139
341.257036,533,39.695353
344.506567,533,40.114507
347.285178,533,40.536298
357.859287,533,40.95725
360.983114,533,41.37796
351.317073,533,41.905122
356.114447,533,42.325568
354.5197,533,42.750851
363.245779,533,43.165139
352.660413,533,43.596515
363.744841,533,44.317333
352.844278,533,44.730579
354.022514,533,45.153549
357.694184,533,45.576403
356.804878,533,45.993798
358.384615,533,46.433037
