#{"t_start": 1693596563.1754467, "env_id": null}
r,l,t
109.748466,163,2.855793
101.349693,163,2.974658
107.803681,163,3.099283
106.257669,163,3.224947
107.93865,163,3.350611
105.319018,163,3.472286
104.325153,163,3.602936
105.484663,163,3.726606
103.871166,163,4.293106
112.95092,163,4.418896
105.294479,163,4.571545
105.435583,163,4.69322
107.337423,163,4.8129
113.374233,163,4.93258
107.312883,163,5.045338
111.760736,163,5.161052
110.380368,163,5.693628
106.368098,163,5.815302
103.736196,163,5.939969
114.441718,163,6.060701
106.779141,163,6.189347
116.404908,163,6.312035
111.257669,163,6.435743
104.822086,163,6.588334
110.852761,163,6.707018
106.300613,163,7.235635
112.705521,163,7.363347
108.368098,163,7.486034
106.116564,163,7.606711
112.441718,163,7.726391
108.141104,163,7.846107
102.96319,163,7.967894
111.331288,163,8.086604
108.932515,163,8.631189
106.754601,163,8.75188
109.656442,163,8.87555
109.865031,163,8.998238
102.453988,163,9.118906
103.552147,163,9.242658
106.386503,163,9.362371
102.91411,163,9.488037
103.791411,163,10.025598
105.239264,163,10.147346
112.269939,163,10.269037
106.380368,163,10.391738
107.276074,163,10.517374
105.453988,163,10.645064
108.116564,163,10.77372
111.674847,163,10.886419
106.766871,163,10.999117
112.613497,163,11.531765
113.147239,163,11.643173
107.760736,163,11.755889
103.159509,163,11.874596
106.07362,163,11.991283
107.245399,163,12.108969
107.300613,163,12.224662
112.331288,163,12.338367
111.104294,163,12.867892
110.257669,163,12.988593
112.650307,163,13.119244
106.687117,163,13.237952
109.06135,163,13.361643
106.730061,163,13.480336
110.392638,163,13.602001
109.184049,163,13.7247
108.02454,163,14.264304
110.871166,163,14.38499
108.220859,163,14.517655
105.042945,163,14.635083
109.337423,163,14.755798
116.558282,163,14.877443
105.828221,163,14.999187
117.411043,163,15.124851
106.08589,163,15.246581
103.601227,163,15.777219
108.993865,163,15.902938
110.01227,163,16.023589
116.638037,163,16.146261
113.981595,163,16.268933
104.466258,163,16.395595
108.619632,163,16.552245
106.539877,163,16.674688
115.190184,163,17.206267
104.834356,163,17.327029
107.503067,163,17.452693
104.95092,163,17.578393
109.239264,163,17.699971
111.484663,163,17.836619
113.705521,163,17.960289
103.638037,163,18.085
113.907975,163,18.626313
111.533742,163,18.750983
114.687117,163,18.875621
108.09816,163,18.998316
105.815951,163,19.119007
112.453988,163,19.232681
110.650307,163,19.349391
102.662577,163,19.464064
108.852761,163,19.575759
101.07362,163,20.110025
107.766871,163,20.229746
107.533742,163,20.351424
115.042945,163,20.47116
113.441718,163,20.590841
108.312883,163,20.710171
115.141104,163,20.847806
109.711656,163,20.957512
111.91411,163,21.484168
105.785276,163,21.603405
108.361963,163,21.723089
106.834356,163,21.84576
105.920245,163,21.965441
111.705521,163,22.092137
108.300613,163,22.21286
109.797546,163,22.339506
110.601227,163,22.870004
100.97546,163,22.992676
104.337423,163,23.113403
107.392638,163,23.23507
112.552147,163,23.361771
105.889571,163,23.482507
105.693252,163,23.604143
107.030675,163,23.728053
116.95092,163,23.850698
111.846626,163,24.482008
103.932515,163,24.620762
107.325153,163,24.744646
108.895706,163,24.867348
102.748466,163,24.987027
110.411043,163,25.104779
107.331288,163,25.226435
102.668712,163,25.349104
112.055215,163,25.882731
112.092025,163,26.003397
104.141104,163,26.127104
107.079755,163,26.249865
102.423313,163,26.371513
111.306748,163,26.492221
107.711656,163,26.648659
109.920245,163,26.777315
106.822086,163,27.300068
112.006135,163,27.423737
102.01227,163,27.548088
109.484663,163,27.670408
111.214724,163,27.790114
107.687117,163,27.916791
106.055215,163,28.037469
108.576687,163,28.160197
108.177914,163,28.312932
108.558282,163,28.870087
110.895706,163,28.991725
111.453988,163,29.117445
104.858896,163,29.245106
107.97546,163,29.370045
112.619632,163,29.488729
109.96319,163,29.609642
104.773006,163,29.731328
103.263804,163,30.268863
108.417178,163,30.393573
113.521472,163,30.51824
111.07362,163,30.641732
104.631902,163,30.763406
104.96319,163,30.886079
108.570552,163,31.017726
111.177914,163,31.13242
106.417178,163,31.657703
108.582822,163,31.813849
113.0,163,31.939513
105.97546,163,32.058233
110.680982,163,32.178967
111.294479,163,32.301639
108.754601,163,32.425451
111.895706,163,32.548117
106.705521,163,32.670707
115.803681,163,33.199296
116.110429,163,33.321967
109.110429,163,33.444707
111.042945,163,33.568354
106.239264,163,33.690717
103.509202,163,33.815385
106.165644,163,33.943043
111.202454,163,34.063776
108.490798,163,34.62792
106.147239,163,34.749642
110.466258,163,34.87131
102.871166,163,34.991987
101.680982,163,35.11067
104.196319,163,35.224394
103.96319,163,35.339059
112.546012,163,35.456783
107.907975,163,35.992205
107.754601,163,36.113908
111.92638,163,36.239575
114.294479,163,36.36031
109.730061,163,36.482126
103.564417,163,36.630736
107.09816,163,36.754431
110.386503,163,36.875124
107.294479,163,36.994778
116.128834,163,37.54011
103.398773,163,37.65949
109.374233,163,37.781138
111.582822,163,37.903811
117.815951,163,38.024531
110.190184,163,38.139244
111.404908,163,38.258973
105.736196,163,38.371671
110.791411,163,38.905704
104.822086,163,39.033359
114.202454,163,39.153138
113.368098,163,39.27581
116.858896,163,39.399489
106.503067,163,39.527167
113.754601,163,39.64855
99.90184,163,39.770295
107.533742,163,40.297884
104.907975,163,40.419559
106.883436,163,40.541274
111.276074,163,40.681858
107.840491,163,40.802536
108.95092,163,40.92421
110.122699,163,41.048876
103.576687,163,41.162572
99.993865,163,41.275271
103.276074,163,41.804533
101.852761,163,41.929203
113.521472,163,42.050893
113.625767,163,42.171569
109.325153,163,42.292223
107.558282,163,42.415984
104.834356,163,42.535646
112.343558,163,42.692853
107.889571,163,43.22442
108.208589,163,43.345069
112.539877,163,43.468739
115.607362,163,43.594454
106.435583,163,43.714897
107.147239,163,43.834603
114.687117,163,43.954267
110.503067,163,44.082925
109.730061,163,44.606524
110.349693,163,44.745001
111.539877,163,44.860692
113.742331,163,44.975385
103.785276,163,45.091075
110.539877,163,45.207763
109.245399,163,45.316473
109.392638,163,45.436153
107.858896,163,45.556196
109.08589,163,46.10279
